PP | 0,0 | -1.2075714861
PP | 1,1 | -1.2075714861
PP | 2,2 | -1.1174793211
PP | 3,3 | -1.1174793211
PP | 4,4 | -1.0584920843
PP | 5,5 | -1.0584920843
PP | 6,6 | -1.0291787012
PP | 7,7 | -1.0291787012
PQ | 0,4 | 0.1026051206
PQ | 1,5 | 0.1026051206
PQ | 2,6 | -0.078461298
PQ | 3,7 | -0.078461298
PQQP | 0,1,1,0 | 0.365335606
PQQP | 0,2,2,0 | 0.1900955086
PQQP | 1,3,3,1 | 0.1900955086
PQQP | 0,4,4,0 | 0.2116011828
PQQP | 1,5,5,1 | 0.2116011828
PQQP | 0,6,6,0 | 0.2493323167
PQQP | 1,7,7,1 | 0.2493323167
PQQP | 1,2,2,1 | 0.3357673321
PQQP | 0,3,3,0 | 0.3357673321
PQQP | 2,3,3,2 | 0.3583340814
PQQP | 2,4,4,2 | 0.2184781615
PQQP | 3,5,5,3 | 0.2184781615
PQQP | 2,6,6,2 | 0.2115819943
PQQP | 3,7,7,3 | 0.2115819943
PQQP | 1,4,4,1 | 0.3379123152
PQQP | 0,5,5,0 | 0.3379123152
PQQP | 3,4,4,3 | 0.3598941693
PQQP | 2,5,5,2 | 0.3598941693
PQQP | 4,5,5,4 | 0.3642788187
PQQP | 4,6,6,4 | 0.1894469188
PQQP | 5,7,7,5 | 0.1894469188
PQQP | 1,6,6,1 | 0.3748594322
PQQP | 0,7,7,0 | 0.3748594322
PQQP | 3,6,6,3 | 0.3448811694
PQQP | 2,7,7,2 | 0.3448811694
PQQP | 5,6,6,5 | 0.3484837983
PQQP | 4,7,7,4 | 0.3484837983
PQQP | 6,7,7,6 | 0.3905468815
PQRS | 0,1,3,2 | 0.291343647
PQRS | 0,3,2,1 | -0.291343647
PQRS | 0,1,5,4 | 0.2526222648
PQRS | 0,5,4,1 | -0.2526222648
PQRS | 0,1,6,3 | -0.0734015446
PQRS | 0,1,7,2 | 0.0734015446
PQRS | 0,3,6,1 | -0.0734015446
PQRS | 0,7,2,1 | -0.0734015446
PQRS | 0,1,7,6 | 0.251054231
PQRS | 0,7,6,1 | -0.251054231
PQRS | 0,2,6,4 | -0.0540136608
PQRS | 1,2,7,4 | 0.2041381422
PQRS | 0,3,6,5 | 0.2041381422
PQRS | 1,3,7,5 | -0.0540136608
PQRS | 0,4,6,2 | -0.0978036816
PQRS | 1,4,7,2 | 0.2041381422
PQRS | 0,5,6,3 | 0.2041381422
PQRS | 1,5,7,3 | -0.0978036816
PQRS | 1,2,4,3 | 0.1175362724
PQRS | 0,3,5,2 | 0.1175362724
PQRS | 1,4,3,2 | -0.1175362724
PQRS | 0,5,3,2 | 0.1175362724
PQRS | 2,3,5,4 | 0.2828320156
PQRS | 2,5,4,3 | -0.2828320156
PQRS | 1,2,6,5 | -0.258151803
PQRS | 0,3,7,4 | -0.258151803
PQRS | 0,6,4,2 | -0.0437900208
PQRS | 1,6,5,2 | 0.258151803
PQRS | 0,7,4,3 | 0.258151803
PQRS | 1,7,5,3 | -0.0437900208
PQRS | 2,3,7,6 | 0.2665983502
PQRS | 2,7,6,3 | -0.2665983502
PQRS | 1,4,6,3 | -0.3019418238
PQRS | 0,5,7,2 | -0.3019418238
PQRS | 1,6,4,3 | -0.3019418238
PQRS | 0,7,5,2 | -0.3019418238
PQRS | 1,4,7,6 | 0.0776447658
PQRS | 0,5,7,6 | -0.0776447658
PQRS | 1,6,7,4 | 0.0776447658
PQRS | 0,7,6,5 | 0.0776447658
PQRS | 3,4,6,5 | -0.1217762082
PQRS | 2,5,7,4 | -0.1217762082
PQRS | 3,6,5,4 | 0.1217762082
PQRS | 2,7,5,4 | -0.1217762082
PQRS | 4,5,7,6 | 0.318073759
PQRS | 4,7,6,5 | -0.318073759
PQQR | 0,1,5,0 | -0.1022011666
PQQR | 0,1,4,1 | 0.1022011666
PQQR | 0,2,4,2 | 0.0589701132
PQQR | 1,2,5,2 | -0.0585661592
PQQR | 0,3,4,3 | -0.0585661592
PQQR | 1,3,5,3 | 0.0589701132
PQQR | 0,2,6,0 | 0.0315154058
PQQR | 1,3,7,1 | 0.0315154058
PQQR | 0,3,7,0 | 0.1049169504
PQQR | 1,2,6,1 | 0.1049169504
PQQR | 2,3,7,2 | -0.0579710582
PQQR | 2,3,6,3 | 0.0579710582
PQQR | 2,4,6,4 | -0.0621307942
PQQR | 3,4,7,4 | 0.059645414
PQQR | 2,5,6,5 | 0.059645414
PQQR | 3,5,7,5 | -0.0621307942
PQQR | 1,4,5,4 | -0.0572329356
PQQR | 0,5,5,4 | 0.0572329356
PQQR | 0,6,6,4 | -0.032522841
PQQR | 1,7,7,5 | -0.032522841
PQQR | 1,6,6,5 | -0.1101676068
PQQR | 0,7,7,4 | -0.1101676068
PQQR | 3,6,7,6 | -0.1147417082
PQQR | 2,7,7,6 | 0.1147417082
Identity |  | 1.28434016243208
